업소명,소재지,대분류,메뉴,별점,별점 수
BHC우송대보건대점,"대전광역시 동구 동대전로 149, 지하1층 103호 ",치킨,"후라이드 치킨, 양념치킨, 뿌링클",4.36,577
문희네식당,"대전광역시 동구 동대전로154번길 20, 1층 ",한식,"백반, 제육덮밥, 알밥, 카레, 비빔국수, 돈까스, 카레돈까스, 김치찌개, 된장찌개, 부대찌개, 청국장",4.8,4
텐더(TENDER),"대전광역시 동구 백룡로11번길 23, 1층 ",치킨,"후라이드치킨, 양념치킨,어니언치킨",5,1
보네하우스,"대전광역시 동구 계족로 184-87, 1층 ",한식,"돈까스, 치즈돈까스, 고구마돈까스, 비빔밥, 가츠동",1,1
행컵우송대점,대전광역시 동구 동대전로 171-31 ,덮밥,"계란젓갈비빔밥, 햄볶음김치덮밥, 햄참치마요덮밥, 치킨마요덮밥, 치즈제육덮밥, 소불고기 덮밥, 떡볶이, 매운떡볶이, 우동",4.76,63
맘스떡볶이,대전광역시 동구 동대전로131번길 8-11 ,떡볶이,"떡볶이, 치즈떡볶이, 튀김, 참치깁밥, 갈비만두, 김말이, 고로캐, 치즈스틱",3,2
굽네치킨 대전우송대점,"대전광역시 동구 동대전로131번길 14, 1층 ",치킨,"후라이드 치킨, 양념 치킨, 간장치킨, 피자, 고추바사삭, ",4.51,261
신가네매운떡볶이(우송대점),대전광역시 동구 동대전로131번길 14 ,떡볶이,"떡볶이, 튀긴 오뎅, 튀긴 만두, 김밥, 고로케, 김말이, 치즈스틱",4.5,235
배불뚝이,대전광역시 동구 동대전로 174-2 ,분식,"김치찌개, 돈까스, 된장찌개, 순두부찌개, 비빔밥, 오므라이스, 김치볶음밥, 새우볶음밥, 김밥, 치즈김밥, 참치김밥, 갈비탕, 육개장, 만두, 칼국수, 만두국",4.12,173
맘스터치 우송대점,"대전광역시 동구 동대전로 165, 2층 ",햄버거,치킨 버거,4.43,261
공릉동멸치국수,"대전광역시 동구 동대전로 198, 1층 ",국수,"멸치국수, 비빔국수, 떡만두국,  주먹밥, 고기만두, 김치 만두, 갈비 만두",4.55,100
차이하나(chayhana),"대전광역시 동구 성동로7번길 12-11, 2층 ",외국음식,"필라프, 케밥, 치킨, 만두, ",4.68,44
수제버거비앤디(B&D),"대전광역시 동구 백룡로5번길 12, 1층 ",햄버거,"햄버거, 감자튀김, ",4.71,92
아키타,"대전광역시 동구 백룡로5번길 17, 2동 102호 ",일식,"우동, 소바, 타코야키, 오야꼬동, 부타동, 새우볶음밥",4.67,414
큰맘할매순대국 우송대점,"대전광역시 동구 동대전로 178-2, 1층 ",한식,"순댓국, 양선지국, 소갈비탕, 뼈해장국, 김치찜, 육개장, 소고기국밥",4.42,226
탕화쿵푸마라탕,"대전광역시 동구 동대전로 149, 1층 ",중식,"마라탕, 마라샹궈, 쌀국수, 꿔바로우, 마파두부, 볶음밥, 물만두, 전병",2.9,33
하반장,"대전광역시 동구 백룡로11번길 161, 1층 ",한식,"닭도리탕, 동태탕, 아구탕, 김치전, 제육볶음, 고등어조림, 갈치조림",4.69,17
밀플랜비 우송대점,"대전광역시 동구 동대전로131번길 8-8, 1층 101호 ",양식,"치킨감자부리또, 소고기베이컨라이스부리또, 새우감자부릐또, 미트볼감자부리또,  핫도그",4.63,310
복짬뽕,"대전광역시 동구 동대전로 220, 2층 ",중식,"짬뽕, 탕수육, 군만두, 짬뽕밥,",4.4,262
